date,week,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end_mwh,avg_charge_price,avg_discharge_price,gross_yuan,aux_cost_yuan,net_yuan,pf_net_yuan,realization_pct
2026-03-15,2026-W11,00:00–16:00,02:00–23:00,1200.0,1092.0,0.0,303.58,325.15,-9231.0,4203.0,-13434.0,456638.0,-2.9
2026-03-16,2026-W12,04:00–22:00,06:00–24:00,1200.0,590.15,526.1,-27.32,37.96,55186.0,542.0,54644.0,164508.0,33.2
2026-03-17,2026-W12,00:00–22:00,01:30–24:00,1200.0,976.95,646.7,118.77,247.87,99634.0,2556.0,97078.0,567396.0,17.1
2026-03-18,2026-W12,08:00–16:00,00:30–22:30,936.13,1468.78,0.0,-49.99,223.45,374990.0,1565.0,373426.0,309720.0,120.6
2026-03-19,2026-W12,01:15–16:45,06:00–24:00,1160.06,1055.65,0.0,-17.79,324.41,363095.0,2350.0,360746.0,449492.0,80.3
2026-03-20,2026-W12,08:45–17:15,10:30–22:30,999.34,909.4,-0.0,-32.74,113.22,135690.0,1595.0,134095.0,206542.0,64.9
2026-03-21,2026-W12,05:00–22:15,06:15–20:15,1200.0,328.85,800.0,-35.54,-47.92,26887.0,-175.0,27063.0,104658.0,25.9
2026-03-22,2026-W12,10:00–22:00,03:45–24:00,984.88,1659.39,0.0,234.94,413.03,453999.0,4204.0,449795.0,433793.0,103.7
2026-03-23,2026-W13,07:45–16:45,10:45–24:00,1106.49,1006.9,0.0,-50.0,49.77,105443.0,967.0,104476.0,131273.0,79.6
2026-03-24,2026-W13,04:45–20:45,06:30–23:30,1200.0,718.85,391.2,-37.01,143.68,147696.0,817.0,146879.0,331329.0,44.3
2026-03-25,2026-W13,05:00–22:45,00:45–24:00,975.06,1260.45,0.0,-0.01,353.39,445440.0,2470.0,442970.0,416792.0,106.3
2026-03-26,2026-W13,09:45–24:00,17:30–21:00,1131.13,438.75,619.1,254.7,469.63,-82049.0,5072.0,-87121.0,461338.0,-18.9
2026-03-27,2026-W13,06:00–15:15,01:00–21:30,910.06,1418.73,-0.0,324.12,526.31,451719.0,5869.0,445850.0,339334.0,131.4
2026-03-28,2026-W13,00:00–20:00,01:15–22:00,1200.0,1092.0,0.0,365.93,338.17,-69833.0,4219.0,-74051.0,46602.0,-158.9
2026-03-29,2026-W13,00:30–17:00,02:30–24:00,1200.0,1092.0,0.0,292.7,255.74,-71964.0,3748.0,-75712.0,226968.0,-33.4
2026-03-30,2026-W14,00:00–22:45,03:45–24:00,1200.0,1092.0,0.0,350.07,363.68,-22940.0,5132.0,-28072.0,277231.0,-10.1
2026-03-31,2026-W14,02:00–16:00,03:15–24:00,1124.34,1023.15,0.0,-30.15,200.61,239160.0,1183.0,237978.0,303016.0,78.5
2026-04-01,2026-W14,00:00–17:00,02:15–24:00,1179.88,1073.69,0.0,181.04,393.42,208806.0,4059.0,204747.0,313165.0,65.4
2026-04-02,2026-W14,00:00–24:00,03:00–22:15,1200.0,328.85,800.0,-9.11,7.31,13339.0,533.0,12805.0,142623.0,9.0
2026-04-03,2026-W14,03:00–17:00,00:00–23:15,1200.0,1855.15,0.0,-50.0,158.38,353826.0,1000.0,352825.0,388270.0,90.9
2026-04-04,2026-W14,09:15–24:00,15:15–23:00,952.38,777.94,93.0,-43.55,119.27,134260.0,160.0,134100.0,184104.0,72.8
2026-04-05,2026-W14,00:00–16:15,03:30–24:00,1200.0,1180.73,0.0,-34.55,277.13,368664.0,928.0,367736.0,366455.0,100.3
2026-04-06,2026-W15,03:00–17:00,04:15–24:00,960.41,873.98,0.0,-10.35,214.5,197410.0,1877.0,195532.0,325634.0,60.0
2026-04-07,2026-W15,07:45–18:00,10:30–23:15,1200.0,1092.0,-0.0,76.26,0.35,-91141.0,2348.0,-93489.0,222430.0,-42.0
2026-04-08,2026-W15,00:00–16:00,01:30–23:00,1200.0,1092.0,-0.0,-28.26,116.23,160839.0,511.0,160327.0,193140.0,83.0
2026-04-09,2026-W15,00:00–17:00,02:15–24:00,1200.0,1092.0,0.0,158.97,267.62,101483.0,1976.0,99507.0,360684.0,27.6
2026-04-10,2026-W15,02:45–17:00,04:30–24:00,1105.06,1005.6,0.0,-7.94,583.7,595749.0,2411.0,593339.0,656345.0,90.4
2026-04-11,2026-W15,10:00–23:00,13:30–20:30,1200.0,328.85,800.0,10.57,-42.32,-26600.0,1638.0,-28237.0,162819.0,-17.3
2026-04-12,2026-W15,09:45–16:00,02:00–21:15,838.63,1526.3,0.0,70.11,120.25,124745.0,1428.0,123317.0,363781.0,33.9
2026-04-13,2026-W16,04:30–15:00,06:00–24:00,945.77,860.65,0.0,125.03,263.39,108443.0,2333.0,106110.0,255649.0,41.5
2026-04-14,2026-W16,09:45–14:45,18:00–23:30,838.63,763.15,0.0,-12.22,257.42,206692.0,3529.0,203162.0,315924.0,64.3
2026-04-15,2026-W16,02:30–22:00,04:00–20:15,1200.0,328.85,800.0,-33.46,21.22,47128.0,341.0,46787.0,189631.0,24.7
2026-04-16,2026-W16,10:00–22:00,02:30–24:00,1005.71,1207.7,493.4,15.29,247.6,283647.0,2107.0,281540.0,250819.0,112.2
2026-04-17,2026-W16,03:45–17:00,00:00–22:15,1200.0,1562.65,0.0,-38.7,106.67,213121.0,454.0,212667.0,357257.0,59.5
